MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,411.603,120383.032746837,2.6948182153291E-08,2.73052455668221E-06
Prodigal A-II,411.663,120318.926370527,2.70959587733023E-08,2.74549802270485E-06
Prodigal A-II,411.783,120190.617653597,2.73951674953607E-08,2.77581534646743E-06
Prodigal A-II,411.843,120126.415312096,2.75466130614302E-08,2.79116056844941E-06
Prodigal A-II,411.903,120062.180981134,2.76993152695746E-08,2.80663311968965E-06
Prodigal A-II,411.963,119997.914660152,2.785328982782E-08,2.82223459180386E-06
Prodigal A-II,412.023,119933.616348738,2.80085591762034E-08,2.83796725852881E-06
Prodigal A-II,412.083,119869.286046281,2.81651412667543E-08,2.85383293885388E-06
Prodigal A-II,412.143,119804.923752181,2.83230742475359E-08,2.86983549813158E-06
Prodigal A-II,412.203,119740.529465646,2.84823401665185E-08,2.88597311737249E-06
Prodigal A-II,412.323,119611.644946178,2.88050256553422E-08,2.91866922452755E-06
Prodigal A-II,412.383,119547.154707771,2.89684833732463E-08,2.93523157779418E-06
Prodigal A-II,412.443,119482.632483099,2.91333705215108E-08,2.95193876809208E-06
Prodigal A-II,412.503,119418.07826357,2.92997117841762E-08,2.96879329653166E-06
Prodigal A-II,412.563,119353.492047882,2.9467520625265E-08,2.98579652735498E-06
Prodigal A-II,412.623,119288.873835713,2.96368194848141E-08,3.00295073429879E-06
Prodigal A-II,412.683,119224.223626417,2.98076263148532E-08,3.0202577363525E-06
Prodigal A-II,412.743,119159.541419487,2.99799882394601E-08,3.0377223083633E-06
Prodigal A-II,412.803,119094.827214343,3.0153873842583E-08,3.05534126709972E-06
